priority,collection_id
2,Asselfingen Baden-Württemberg
2,Aßlar Hessen
2,Aßling Bayern
2,Astert Rheinland-Pfalz
2,Attendorn Nordrhein-Westfalen
2,Attenhausen Rheinland-Pfalz
2,Attenhofen Bayern
2,Attenkirchen Bayern
2,Attenweiler Baden-Württemberg
2,Atting Bayern
2,Atzelgift Rheinland-Pfalz
2,Au Baden-Württemberg
2,Au am Rhein Baden-Württemberg
2,Aub Bayern
2,Aubstadt Bayern
2,Auderath Rheinland-Pfalz
2,Aue Sachsen
2,Auel Rheinland-Pfalz
2,Auen Rheinland-Pfalz
2,Auengrund Thüringen
2,Auenwald Baden-Württemberg
2,Auerbach Sachsen
2,Auerbach Bayern
2,Auerbach in der Oberpfalz Bayern
2,Auerbach/Vogtland Sachsen
2,Auetal Niedersachsen
2,Aufhausen Bayern
2,Aufseß Bayern
2,Auggen Baden-Württemberg
2,Augsburg Bayern
2,Augustdorf Nordrhein-Westfalen
2,Augustusburg Sachsen
2,Auhagen Niedersachsen
2,Auhausen Bayern
2,Au in der Hallertau Bayern
2,Aukrug Schleswig-Holstein
2,Aulendorf Baden-Württemberg
2,Aull Rheinland-Pfalz
2,Auma-Weidatal Thüringen
2,Aumühle Schleswig-Holstein
2,Aura a.d.Saale Bayern
2,Aurach Bayern
2,Aurachtal Bayern
2,Aura im Sinngrund Bayern
2,Aurich Niedersachsen
2,Ausacker Schleswig-Holstein
2,Ausleben Sachsen-Anhalt
2,Außernzell Bayern
2,Auufer Schleswig-Holstein
2,Auw an der Kyll Rheinland-Pfalz
2,Auw bei Prüm Rheinland-Pfalz
2,Aventoft Schleswig-Holstein
2,Averlak Schleswig-Holstein
2,Axstedt Niedersachsen
2,Aying Bayern
2,Ayl Rheinland-Pfalz
2,Aystetten Bayern
2,Baabe Mecklenburg-Vorpommern
2,Baar Bayern
2,Baar Rheinland-Pfalz
2,Baar-Ebenhausen Bayern
2,Babenhausen Hessen
2,Babenhausen Bayern
2,Babensham Bayern
2,Bach an der Donau Bayern
2,Bacharach Rheinland-Pfalz
2,Bachenberg Rheinland-Pfalz
2,Bachfeld Thüringen
